timestamp,X,Y,Z
'19-Feb-2023 23:31:16.250',6.846222,-5.524643,5.316513
'19-Feb-2023 23:31:16.270',6.958755,-5.692245,5.469742
'19-Feb-2023 23:31:16.290',6.649902,-5.649139,4.011673
'19-Feb-2023 23:31:16.310',6.379349,-5.273254,3.449036
'19-Feb-2023 23:31:16.330',6.79834,-5.529434,5.376373
'19-Feb-2023 23:31:16.350',6.716934,-6.288391,6.650085
'19-Feb-2023 23:31:16.370',6.793549,-6.147141,6.111389
'19-Feb-2023 23:31:16.390',6.532593,-5.766464,5.476929
'19-Feb-2023 23:31:16.410',6.269226,-5.570129,5.00766
'19-Feb-2023 23:31:16.430',6.300354,-5.644363,4.507278
'19-Feb-2023 23:31:16.450',5.936432,-5.464798,4.330093
'19-Feb-2023 23:31:16.470',6.479919,-5.191849,4.224762
'19-Feb-2023 23:31:16.490',6.427246,-5.771255,4.325317
'19-Feb-2023 23:31:16.510',5.560547,-5.859833,5.843231
'19-Feb-2023 23:31:16.530',6.348236,-5.565353,4.59346
'19-Feb-2023 23:31:16.550',6.8965,-5.754486,4.061951
'19-Feb-2023 23:31:16.570',6.408081,-5.68985,4.552765
'19-Feb-2023 23:31:16.590',4.885376,-5.747314,5.175247
'19-Feb-2023 23:31:16.610',4.540604,-5.905319,5.577484
'19-Feb-2023 23:31:16.630',3.415329,-6.381775,5.180038
'19-Feb-2023 23:31:16.650',3.013107,-6.10405,4.813736
'19-Feb-2023 23:31:16.670',6.788757,-5.37381,2.862457
'19-Feb-2023 23:31:16.690',6.166275,-6.173477,4.210388
'19-Feb-2023 23:31:16.710',5.337875,-7.119186,6.604599
'19-Feb-2023 23:31:16.730',6.312317,-6.465561,4.990906
'19-Feb-2023 23:31:16.750',5.823898,-7.0737,1.270309
'19-Feb-2023 23:31:16.770',5.819107,-8.768784,1.272705
'19-Feb-2023 23:31:16.790',8.246826,-8.347412,2.702042
'19-Feb-2023 23:31:16.810',10.370483,-7.375366,3.018082
'19-Feb-2023 23:31:16.830',7.772781,-7.930817,0.786682
'19-Feb-2023 23:31:16.850',5.041,-9.204529,0.080399
'19-Feb-2023 23:31:16.870',7.164658,-7.638733,0.690918
